LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID18660,18660,0,299.0,27.594997189432267,49.42804946599213,0.0,80.0,80,9.71487937410928,1,,1566.6195286195286,408.0,80.0,16063.0,465286.0,2747.133027657083,0.9546594572192916,0.5570461993033851,0.10913723408278007,-0.23209265745216134,13.64890579285486,7.149514431421678,1.905759028278996,1.9090675211268553,296.49999999999994,74.12882840487072,0.6780477658094889,0.9323899371069182,4.305016173241128
ID18661,18661,0,297.0,27.48977853492334,49.214366837024414,0.0,81.0,81,9.665606633571562,1,,1545.8395904436861,420.0,84.0,16063.0,452931.0,2693.2033413538024,0.9537020676247205,0.5603761781197837,-0.0036246366308889427,-0.11048199135758291,13.435162282284168,7.2407070549007555,1.8850974809144012,1.8555041904631115,293.50000000000006,73.58581833331405,0.6811295494919143,0.9347133757961783,4.295266068070111
ID18673,18673,0,299.0,27.41275167785235,49.68120805369127,0.0,82.0,82,9.739422266375437,1,,1530.8187919463087,416.0,80.0,16063.0,456184.0,2684.0246667080996,0.9522268234475143,0.556387562438472,0.0658930353765273,-0.08932123689907018,13.659580993418475,7.3532137694573745,1.919943367557757,1.8576341476913807,298.00000000000006,72.38094374816067,0.7147886458320233,0.9415481832543445,4.192915492642032
ID18662,18662,0,287.0,27.823943661971832,48.42899061032864,0.0,83.0,83,9.507891862878783,1,,1591.2711267605634,447.0,84.0,16063.0,451921.0,2744.41694112342,0.9510637746731828,0.5652782314827617,-0.10272352145269929,0.03164999634226824,13.87769031625775,7.064557241971676,1.8552007667744754,1.9644104847517052,284.0,71.40882552457497,0.6998813545133603,0.9466666666666667,4.237334218286532
ID18666,18666,0,524.0,25.87236084452975,53.32213691618682,0.0,84.0,84,12.877866698399815,1,,800.8026819923372,344.0,70.0,5792.0,418019.0,1042.6871315370797,0.9062816209067938,0.7302601684614649,0.03758635399032329,-0.2474245334119949,29.752465523891992,6.182993235340154,-1.2694853184950323,4.811984162272042,521.0,134.72603718588925,0.36069864922941536,0.9278717720391808,5.902454854761885
ID18667,18667,0,540.0,26.009293680297397,52.33054522924411,0.0,85.0,85,13.086279790944385,1,,772.8775510204082,321.0,78.0,5397.0,416581.0,1005.6272043842633,0.9020336120008879,0.7289675709022541,0.07875691306400659,-0.1836673366845269,29.837212156506833,5.902085388632076,1.8922086293266738,5.055367754247654,538.0,142.51501046913955,0.3328671377203829,0.8841413311421529,6.1442583904959776
ID18671,18671,0,534.0,25.79559748427673,51.670125786163524,0.0,86.0,86,12.988619621707652,1,,770.828947368421,336.0,67.0,5368.0,410081.0,988.8551841425868,0.8991582856487735,0.7381256622048982,-0.09085396237040534,0.5579710477479605,29.798162928708454,5.837244011905719,-1.2630425815857738,5.104834210790526,530.0,141.57552063838887,0.3322839762831164,0.9005947323704331,6.149647642004619
ID18678,18678,0,575.0,25.412891986062718,52.56794425087108,0.0,87.0,87,13.517021664164627,1,,703.4278260869565,308.0,62.0,5144.0,404471.0,915.6203783627473,0.8930972135729596,0.724869635905401,0.16344131251632057,-0.8513576767031653,32.75432078360515,5.851422750554319,-1.266789975300358,5.597667811730448,574.0,153.01542662113292,0.30807135692660736,0.9025157232704404,6.386740508867459
ID18675,18675,0,573.0,25.24508101851852,54.03761574074074,0.0,88.0,88,13.540550005146153,1,,701.8425605536332,301.0,77.0,5055.0,405665.0,903.1380903153888,0.8883907078841033,0.7311857011204651,-0.25260314944784695,0.6184752725746938,34.176159700989444,5.74154111060211,-1.2555242553576056,5.952436644210568,576.0000000000002,160.4389980769654,0.2811981538260931,0.8753799392097267,6.68495825320689
ID18681,18681,0,593.0,24.95004269854825,53.50967833760319,0.0,89.0,89,13.651755870971675,1,,678.8534923339012,303.0,52.0,4917.0,398487.0,882.9972609239602,0.8866959791201641,0.7226358631188761,-0.3414721214463454,0.6054367274657446,35.24753114414705,5.492721044420606,1.8732465268928218,6.417134760548375,585.5000000000005,174.93901535615976,0.24041602254686076,0.847322720694646,7.229749136513189
